snapshot_at_utc,videoId,title,channelTitle,viewCount
,sPLqsLsooJY,"米津玄師, 宇多田ヒカル Kenshi Yonezu, Hikaru Utada -  JANE DOE",Kenshi Yonezu  米津玄師,3939359
,lwlw0ChiSR0,Forza Horizon 6 - Official Teaser Trailer | Tokyo Game Show 2025,Forza,849959
,P6p3pos_54g,【公式】『ポケポケ』拡張パック「ハイクラスパックex」,ポケモン公式YouTubeチャンネル,459524
,kW5Wq-W_Kpc,STARGLOW / Moonchaser -Behind The Scenes-,STARGLOW Official,175393
,ITKHKz_UVjE,＜TWICE : ONE IN A MILL10N＞10th Anniversary Documentary Main Trailer,TWICE,103223
,gG3_yzSjwBs,モンストニュース[9/25]『アニメ〈物語〉シリーズ』超究極「忍野扇」降臨！や12周年期間限定クエスト、モンフリ追加情報など、まもなく12周年を迎えるモンストの最新情報をお届けします！【モンスト公式】,モンスト（モンスターストライク）公式,404842
,KgzX98z_pNs,The Story of the Wind and I,Ado - Topic,112238
,83M147c4QrU,鈴木福 VS “最強”ヒグマ　映画『ヒグマ!!』予告編　『ミスミソウ』内藤瑛亮監督,シネマトゥデイ,15432
,8kMO7mg9vyU,TNTしかないネザーから脱出できるまで終われません！【マイクラ】,ドズル社,328547
,7H1u7lUBqbA,Handz In My Pocket,JO1 - Topic,33622
,ratk9GGGFDM,#5  さっくり進める SILENT HILL f ※ネタバレあり,あまり驚かないガッチマンはホラーゲームばかりやっている,56693
,svv0pOxzA9Q,"STUTS - 99 Steps feat. Kohjiya, Hana Hope / THE FIRST TAKE",THE FIRST TAKE,329281
,4GoBqeeOBz4,VALORANT Champions Paris — Playoffs Stage Day 11,VALORANT // JAPAN,302286
,-3NRu9GB8zs,TREASURE - ‘NOW FOREVER’ DANCE PERFORMANCE VIDEO,TREASURE (트레저),786306
,DShOfmHKIq4,【#ホロライブ甲子園2025】桜咲高校２年目夏‼⚾負けるな！夏大会へ挑むにぇ～！！！！！！【ホロライブ/さくらみこ】,Miko Ch. さくらみこ,516683
,LSTz4tRLRzE,GADORO - もういちど feat. 紅桜 (Pro. DJ SHINODA),GADORO,76509
