語句,平均再生回数
wwww,1498200
ヤバ,1163331
歌う,978389
選手,963728
中町,873401
50,870768
1,870168
過去,841147
テオ,821490
こたつ,814550
shorts,789270
フォーエイト,763561
ー,740409
ガチ,736376
2,678384
見る,673485
みる,654782
感じる,653177
メドレー,643239
羞恥,632614
性,629412
共感,629412
解散,627674
bang,615590
の,607095
#,605704
様,601172
帰宅,591568
enn,590348
tiktok,582306
回,576838
炎上,561371
くる,558514
件,558301
いる,548642
怖い,544589
youtuber,533792
神,529075
-,526415
ピース,523768
世代,521504
ん,521046
すぎる,509001
スカイ,503084
事,502376
脱退,501702
やばい,495411
者,487317
48,486289
する,486138
君,477041
やまと,476406
せる,474226
カップル,472970
ある,470691
なる,468058
一,465719
人,463961
とんでも,453454
活動,451854
やる,450745
何,428680
てる,426946
休止,420990
ドット,416230
ばんばんざい,410708
/,408338
youtube,405952
れる,403142
コム,400137
男,394975
dj,394151
企画,386163
vs,385362
誰,372755
ヒカキン,372056
達,368224
wwwww,341415
動画,334176
www,330958
"""",330445
穴,325187
出す,318115
ww,317830
雨,310117
これ,296110
円,292403
メンバー,278607
結婚,274329
変,274071
万,267532
ら,267189
飲む,256032
10,252748
あきる,238241
プロデュース,226974
言う,206587
対決,196252
w,194411
破産,166167
